name,behave,evaluation,number,cond,situation,reason,propose,ending,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,image.started,key_resp.started,key_resp.keys,key_resp.rt,back.started,key_resp_2.started,key_resp_2.keys,key_resp_2.rt,predictp.started,key_resp_3.started,key_resp_3.keys,key_resp_3.rt,predictp_2.started,key_resp_5.started,key_resp_5.keys,key_resp_5.rt,text.started,predictp_3.started,slider.started,text_2.started,text_3.started,text_4.started,slider.response,slider.rt,text_5.started,text_5.stopped,key_resp_6.started,key_resp_6.stopped,key_resp_6.keys,text.stopped,key_resp_6.rt,participant,session,randomization,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,7.890040800000861,7.890040800000861,space,1.9586178999998083,,,,,,,,,,,,,,,,,,,,,,,,,,,,550583,1,-1,2023-01-10_18h22.35.699,Moral_Emotion_Task,2022.2.4,164.02611951885342,
李明,李明继续开车回家。这个路人,李明继续开车回家这种行为是：,9,badPsadE,materials/situations/9.PNG,materials/sadreason/9.PNG,materials/badpropose/9.PNG,materials/sadending/9.PNG,0,0,0,0,,,,,9.893063899999106,9.893063899999106,space,1.0196826999999757,10.926393999998254,10.926393999998254,space,1.079643799999758,12.023186700000224,12.023186700000224,space,0.6829722000002221,12.726235999998607,15.72466980000172,18.030265500001406,18.030265500001406,18.030265500001406,18.030265500001406,1.046875,3.4373945000006643,21.468003800000588,21.468003800000588,21.468003800000588,21.468003800000588,None,,,550583,1,-1,2023-01-10_18h22.35.699,Moral_Emotion_Task,2022.2.4,164.02611951885342,
刘莎,刘莎把绳索卖给顾客。顾客使用这条绳索攀岩时,刘莎把绳索卖给顾客这种行为：,30,goodPsadE,materials/situations/30.PNG,materials/sadreason/30.PNG,materials/goodpropose/30.PNG,materials/sadending/30.PNG,0,1,1,1,,,,,21.468003800000588,21.468003800000588,space,4.036544100003084,25.519479200000205,25.519479200000205,space,0.8642355000010866,26.401016200001322,26.401016200001322,space,0.9123126999984379,27.326845399999,30.331732399998145,32.631050799998775,32.631050799998775,32.631050799998775,32.631050799998775,2.338541666666667,2.2468550999983563,34.88256099999853,34.88256099999853,34.88256099999853,34.88256099999853,None,,,550583,1,-1,2023-01-10_18h22.35.699,Moral_Emotion_Task,2022.2.4,164.02611951885342,
杨乐,"杨乐跳过这一段铁轨的工作。这段铁轨开始运营,",杨乐跳过这一段铁轨工作这种行为是：,17,badPsadE,materials/situations/17.PNG,materials/sadreason/17.PNG,materials/badpropose/17.PNG,materials/sadending/17.PNG,0,2,2,2,,,,,34.88256099999853,34.88256099999853,space,1.4137850000006438,36.312341100001504,36.312341100001504,space,0.9538392000031308,37.28334959999847,37.28334959999847,space,0.6070849999996426,37.90826179999931,40.912415200000396,43.212665499999275,43.212665499999275,43.212665499999275,43.212665499999275,1,2.079563399998733,45.29664760000014,45.29664760000014,45.29664760000014,45.29664760000014,None,,,550583,1,-1,2023-01-10_18h22.35.699,Moral_Emotion_Task,2022.2.4,164.02611951885342,
杨鹏,杨鹏马上让妻子吃药。他的妻子,杨鹏马上让妻子吃药这种行为是：,10,badPhappyE,materials/situations/10.PNG,materials/happyreason/10.PNG,materials/badpropose/10.PNG,materials/happyending/10.PNG,0,3,3,3,,,,,45.29664760000014,45.29664760000014,space,8.871452400002454,54.18826360000094,54.18826360000094,space,2.795770500000799,56.99630539999998,56.99630539999998,space,2.1373320999991847,59.14820229999896,62.152658499999234,64.45761620000121,64.45761620000121,64.45761620000121,64.45761620000121,1.96875,3.691689499999484,68.15108369999871,68.15108369999871,68.15108369999871,68.15108369999871,None,,,550583,1,-1,2023-01-10_18h22.35.699,Moral_Emotion_Task,2022.2.4,164.02611951885342,
唐静,唐静让妹妹在桌边玩。唐静的妹妹,唐静让妹妹在桌边玩这种行为是：,13,goodPhappyE,materials/situations/13.PNG,materials/happyreason/13.PNG,materials/goodpropose/13.PNG,materials/happyending/13.PNG,0,4,4,4,,,,,68.15108369999871,68.15108369999871,space,3.10159030000068,71.26968639999905,71.26968639999905,space,1.579259699999966,72.87050459999955,72.87050459999955,space,0.6103283000011288,73.49188990000039,76.49819299999945,78.80432049999945,78.80432049999945,78.80432049999945,78.80432049999945,6.015625,2.717768900001829,81.52245050000056,81.52245050000056,81.52245050000056,81.52245050000056,None,,,550583,1,-1,2023-01-10_18h22.35.699,Moral_Emotion_Task,2022.2.4,164.02611951885342,
陈钢,陈钢同意飞机起飞。飞机,陈钢没有再要求清理跑道这种行为是：,16,badPsadE,materials/situations/16.PNG,materials/sadreason/16.PNG,materials/badpropose/16.PNG,materials/sadending/16.PNG,0,5,5,5,,,,,81.52245050000056,81.52245050000056,space,4.041660499999125,85.57845710000038,85.57845710000038,space,0.8319995000019844,86.42703659999825,86.42703659999825,space,0.7916167000003043,87.23095019999892,90.2400658000006,92.54418839999926,92.54418839999926,92.54418839999926,92.54418839999926,1.1510416666666665,1.3409826000024623,93.88550079999914,93.88550079999914,93.88550079999914,93.88550079999914,None,,,550583,1,-1,2023-01-10_18h22.35.699,Moral_Emotion_Task,2022.2.4,164.02611951885342,
赵晨,赵晨鼓励朋友下去游泳。赵晨的朋友在池塘,赵晨鼓励朋友下去游泳这种行为：,25,goodPsadE,materials/situations/25.PNG,materials/sadreason/25.PNG,materials/goodpropose/25.PNG,materials/sadending/25.PNG,0,6,6,6,,,,,93.88550079999914,93.88550079999914,space,1.9334469999994326,95.83898580000096,95.83898580000096,space,0.7882064000004902,96.64581069999986,96.64581069999986,space,0.5006098000012571,97.17061839999951,100.16977029999907,102.4696143000001,102.4696143000001,102.4696143000001,102.4696143000001,2.979166666666667,3.369744100000389,105.84068069999921,105.84068069999921,105.84068069999921,105.84068069999921,None,,,550583,1,-1,2023-01-10_18h22.35.699,Moral_Emotion_Task,2022.2.4,164.02611951885342,
罗兰,罗兰把蘑菇给朋友吃。罗兰的朋友,罗兰把蘑菇送给朋友吃这种行为是：,6,badPhappyE,materials/situations/6.PNG,materials/happyreason/6.PNG,materials/badpropose/6.PNG,materials/happyending/6.PNG,0,7,7,7,,,,,105.84068069999921,105.84068069999921,space,2.477458800000022,108.33516270000109,108.33516270000109,space,0.7312684000025911,109.08115650000036,109.08115650000036,space,0.5959059000015259,109.69213500000114,112.69978080000146,115.00265740000032,115.00265740000032,115.00265740000032,115.00265740000032,2.015625,1.7090280999982497,116.71361080000133,116.71361080000133,116.71361080000133,116.71361080000133,None,,,550583,1,-1,2023-01-10_18h22.35.699,Moral_Emotion_Task,2022.2.4,164.02611951885342,
李贝,李贝把这些肉给孩子们吃。孩子们,李贝把这些肉给孩子们吃这种行为是：,14,goodPsadE,materials/situations/14.PNG,materials/sadreason/14.PNG,materials/goodpropose/14.PNG,materials/sadending/14.PNG,0,8,8,8,,,,,116.71361080000133,116.71361080000133,space,1.1101979999984906,117.83779990000039,117.83779990000039,space,0.6897594000001845,118.54065210000044,118.54065210000044,space,0.7360492000007071,119.2971695999986,122.29698700000154,124.60383219999858,124.60383219999858,124.60383219999858,124.60383219999858,4.46875,2.402481799999805,127.00703019999855,127.00703019999855,127.00703019999855,127.00703019999855,None,,,550583,1,-1,2023-01-10_18h22.35.699,Moral_Emotion_Task,2022.2.4,164.02611951885342,
