name,behave,evaluation,number,cond,situation,reason,propose,ending,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,image.started,mouse_4.started,mouse_4.x,mouse_4.y,mouse_4.leftButton,mouse_4.midButton,mouse_4.rightButton,mouse_4.time,key_resp.started,image_2.started,key_resp.keys,key_resp.rt,back.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,predictp.started,mouse_2.started,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,predictp_2.started,mouse_3.started,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.time,text.started,predictp_3.started,slider.started,text_2.started,text_3.started,text_4.started,slider.response,slider.rt,text_6.started,text_6.stopped,text_5.started,text_5.stopped,key_resp_6.started,key_resp_6.stopped,key_resp_6.keys,key_resp_2.started,key_resp_2.stopped,image_3.started,image_3.stopped,key_resp_2.keys,predictp_2.stopped,mouse_3.stopped,text.stopped,back.stopped,mouse.stopped,predictp_3.stopped,key_resp_6.rt,key_resp_2.rt,participant,session,randomization,date,expName,psychopyVersion,frameRate,
李浩,李浩不理会侄子胃疼。他的侄子很快就,李浩不理会侄子胃疼这种行为：,31,goodPhappyE,materials/situations/31.PNG,materials/happyreason/31.PNG,materials/goodpropose/31.PNG,materials/happyending/31.PNG,0,55,55,55,,,,,,,,,,,,,2768.8136984999983,0.008953399999882095,[-0.09930555555555555],[-0.19375],[1],[0],[0],[1.6601704000004247],2770.4811628999996,0.006215000001247972,[-0.030555555555555555],[-0.2763888888888889],[1],[0],[0],[2.408593199999814],2772.8968116999986,0.0063918000014382415,[],[],[],[],[],[],2775.2010250999992,2778.2080578999994,2780.503808399999,2780.503808399999,2780.503808399999,2780.503808399999,5.869791666666666,1.2262245000001712,2781.7430711999987,2786.7450989999998,2786.7450989999998,2786.7450989999998,2786.7450989999998,2786.7450989999998,None,2786.7450989999998,2786.7450989999998,2786.7450989999998,2786.7450989999998,None,,,,,,,,,102,1,-1,2023-02-20_11h57.28.576,Moral_Emotion_Task,2022.2.4,None,
丁怡,丁怡让邻居下海游泳。邻居,丁怡让邻居去海里游泳这种行为是：,3,badPsadE,materials/situations/3.PNG,materials/sadreason/3.PNG,materials/badpropose/3.PNG,materials/sadending/3.PNG,0,56,56,56,,,,,,,,,,,,,2786.7450989999998,0.007056799999190844,[-0.08958333333333333],[-0.017361111111111112],[1],[0],[0],[3.3423836000001756],2790.0996464,0.014465500000369502,[0.027083333333333334],[0.07777777777777778],[1],[0],[0],[1.9123435000001336],2792.0254752,0.012253699998836964,[0.02847222222222222],[0.13958333333333334],[1],[0],[0],[1.413691399999152],2793.4401880999994,2796.4439413,2798.7438059999986,2798.7438059999986,2798.7438059999986,2798.7438059999986,1,5.896415799999886,2804.6459388999992,2807.641106199999,2807.641106199999,2807.641106199999,2807.641106199999,2807.641106199999,None,2807.641106199999,2807.641106199999,2807.641106199999,2807.641106199999,None,,,2796.4439413,,,2798.7438059999986,,,102,1,-1,2023-02-20_11h57.28.576,Moral_Emotion_Task,2022.2.4,None,
苏珍,苏珍把学生分到非过敏体质班。这个学生,苏珍把学生分到非过敏体质班这种行为：,28,badPhappyE,materials/situations/28.PNG,materials/happyreason/28.PNG,materials/badpropose/28.PNG,materials/happyending/28.PNG,0,57,57,57,,,,,,,,,,,,,2807.641106199999,0.007812299998477101,[-0.06319444444444444],[0.058333333333333334],[1],[0],[0],[2.225722399998631],2809.8764077999986,0.006791300000259071,[0.04027777777777778],[0.13819444444444445],[1],[0],[0],[2.6316750000005413],2812.5162222,0.007817900001100497,[],[],[],[],[],[],2814.8182244,2817.816853099999,2820.1156323999985,2820.1156323999985,2820.1156323999985,2820.1156323999985,6.84375,2.324847600000794,2822.4499112999983,2828.4539228999984,2828.4539228999984,2828.4539228999984,2828.4539228999984,2828.4539228999984,None,2828.4539228999984,2828.4539228999984,2828.4539228999984,2828.4539228999984,None,,,,,,2820.1156323999985,,,102,1,-1,2023-02-20_11h57.28.576,Moral_Emotion_Task,2022.2.4,None,
程峰,程峰没有提醒客户。客户继续使用这台电脑,程峰没有提醒客户这种行为：,48,goodPsadE,materials/situations/48.PNG,materials/sadreason/48.PNG,materials/goodpropose/48.PNG,materials/sadending/48.PNG,0,58,58,58,,,,,,,,,,,,,2828.4539228999984,0.008116099999824655,[-0.013194444444444444],[0.08263888888888889],[1],[0],[0],[2.473894599999767],2830.935411999999,0.00823599999966973,[-0.025],[0.24722222222222223],[1],[0],[0],[1.6693845999998302],2832.6140922999984,0.007638600000063889,[],[],[],[],[],[],2834.918439199999,2837.9123929999987,2840.2109155999988,2840.2109155999988,2840.2109155999988,2840.2109155999988,3.2604166666666665,3.2140416000002006,2843.4370437999987,2848.4395595999995,2848.4395595999995,2848.4395595999995,2848.4395595999995,2848.4395595999995,None,2848.4395595999995,2848.4395595999995,2848.4395595999995,2848.4395595999995,None,,,,,,2840.2109155999988,,,102,1,-1,2023-02-20_11h57.28.576,Moral_Emotion_Task,2022.2.4,None,
刘晓,刘晓把芝麻放进菜里。客人,刘晓把芝麻放进菜里这种行为是：,11,goodPsadE,materials/situations/11.PNG,materials/sadreason/11.PNG,materials/goodpropose/11.PNG,materials/sadending/11.PNG,0,59,59,59,,,,,,,,,,,,,2848.4395595999995,0.009001299998999457,[-0.07569444444444444],[-0.05416666666666667],[1],[0],[0],[4.354760700000043],2852.8050251999994,0.012343899999905261,[0.13680555555555557],[0.07847222222222222],[1],[0],[0],[2.246247700000822],2855.0654133999997,0.012503199999628123,[],[],[],[],[],[],2857.3669480999997,2860.3720599999997,2862.666201099999,2862.666201099999,2862.666201099999,2862.666201099999,4.401041666666667,3.814379600000393,2866.4821579,2872.483604699999,2872.483604699999,2872.483604699999,2872.483604699999,2872.483604699999,None,2872.483604699999,2872.483604699999,2872.483604699999,2872.483604699999,None,,,,,,,,,102,1,-1,2023-02-20_11h57.28.576,Moral_Emotion_Task,2022.2.4,None,
罗格,罗格没有管他的朋友。他的朋友,罗格没有管他的朋友这种行为是：,15,goodPsadE,materials/situations/15.PNG,materials/sadreason/15.PNG,materials/goodpropose/15.PNG,materials/sadending/15.PNG,0,60,60,60,,,,,,,,,,,,,2872.483604699999,0.00899800000115647,[0.05],[0.050694444444444445],[1],[0],[0],[3.15041889999884],2875.6442591999985,0.008227199999964796,[0.06805555555555555],[0.23472222222222222],[1],[0],[0],[2.3231485999986035],2877.9742198999993,0.006800700000894722,[],[],[],[],[],[],2880.2691108,2883.280329199999,2885.5804352999985,2885.5804352999985,2885.5804352999985,2885.5804352999985,1,3.2716536999996606,2888.8507862999995,2892.8601553999997,2892.8601553999997,2892.8601553999997,2892.8601553999997,2892.8601553999997,None,2892.8601553999997,2892.8601553999997,2892.8601553999997,2892.8601553999997,None,2880.2691108,2.297916499999701,,,,,,,102,1,-1,2023-02-20_11h57.28.576,Moral_Emotion_Task,2022.2.4,None,
赵晨,赵晨鼓励朋友下去游泳。赵晨的朋友在池塘,赵晨鼓励朋友下去游泳这种行为：,25,goodPsadE,materials/situations/25.PNG,materials/sadreason/25.PNG,materials/goodpropose/25.PNG,materials/sadending/25.PNG,0,61,61,61,,,,,,,,,,,,,2892.8601553999997,0.008287999999083695,[0.07361111111111111],[0.07430555555555556],[1],[0],[0],[3.2581621000008454],2896.1237987999993,0.008205899999666144,[0.19722222222222222],[0.09722222222222222],[1],[0],[0],[3.1708079],2899.306996699999,0.0125015000012354,[],[],[],[],[],[],2901.6053901999985,2904.6193587,2906.9118337,2906.9118337,2906.9118337,2906.9118337,2.28125,2.8531027999997605,2909.775437299999,2913.777720099999,2913.777720099999,2913.777720099999,2913.777720099999,2913.777720099999,None,2913.777720099999,2913.777720099999,2913.777720099999,2913.777720099999,None,,,,,,,,,102,1,-1,2023-02-20_11h57.28.576,Moral_Emotion_Task,2022.2.4,None,
赵智,赵智默默离开。挥手那人,赵智默默离开这种行为是：,8,goodPsadE,materials/situations/8.PNG,materials/sadreason/8.PNG,materials/goodpropose/8.PNG,materials/sadending/8.PNG,0,62,62,62,,,,,,,,,,,,,2913.777720099999,0.006665200000497862,[-0.011111111111111112],[-0.02013888888888889],[1],[0],[0],[5.639603199999328],2919.4297745999993,0.008514900000591297,[-0.011111111111111112],[-0.02013888888888889],[1],[0],[0],[2.133708800000022],2921.571784399999,0.013009199999942211,[],[],[],[],[],[],2923.8657563999986,2926.8671992,2929.1673885,2929.1673885,2929.1673885,2929.1673885,1.2083333333333333,2.134981900000639,2931.3153691999996,2936.3160651,2936.3160651,2936.3160651,2936.3160651,2936.3160651,None,2936.3160651,2936.3160651,2936.3160651,2936.3160651,None,,,2926.8671992,,,,,,102,1,-1,2023-02-20_11h57.28.576,Moral_Emotion_Task,2022.2.4,None,
唐巧,唐巧让男孩走进冒烟的房子。男孩,唐巧让男孩走进冒烟房子这种行为是：,24,goodPsadE,materials/situations/24.PNG,materials/sadreason/24.PNG,materials/goodpropose/24.PNG,materials/sadending/24.PNG,0,63,63,63,,,,,,,,,,,,,2936.3160651,0.007549199999630218,[0.09791666666666667],[-0.03680555555555556],[1],[0],[0],[4.22743679999985],2940.5557714999995,0.013203999998950167,[0.17083333333333334],[0.11527777777777778],[1],[0],[0],[4.1541528000016115],2944.7273692,0.014017499999681604,[],[],[],[],[],[],2947.0277892999984,2950.0275523,2952.332442499999,2952.332442499999,2952.332442499999,2952.332442499999,1,3.558462699998927,2955.8887430999985,2961.887933,2961.887933,2961.887933,2961.887933,2961.887933,None,2961.887933,2961.887933,2961.887933,2961.887933,None,,,,,,,,,102,1,-1,2023-02-20_11h57.28.576,Moral_Emotion_Task,2022.2.4,None,
方远,方远只顾自己继续吃饭。那名顾客,方远只顾自己继续吃饭这种行为：,43,goodPsadE,materials/situations/43.PNG,materials/sadreason/43.PNG,materials/goodpropose/43.PNG,materials/sadending/43.PNG,0,64,64,64,,,,,,,,,,,,,2961.887933,0.007108199999493081,[-0.37430555555555556],[-0.175],[1],[0],[0],[2.7011549999988347],2964.5987920999996,0.007153399999879184,[-0.4263888888888889],[-0.24375],[1],[0],[0],[2.2232150999989244],2966.827486099999,0.006498499998997431,[],[],[],[],[],[],2969.1195788999994,2972.1259439999994,2974.427529299999,2974.427529299999,2974.427529299999,2974.427529299999,3.0729166666666665,1.9186007000007521,2976.3491510999993,2980.3505568,2980.3505568,2980.3505568,2980.3505568,2980.3505568,None,2980.3505568,2980.3505568,2980.3505568,2980.3505568,None,2969.1195788999994,2.2958856000004744,2972.1259439999994,,,2974.427529299999,,,102,1,-1,2023-02-20_11h57.28.576,Moral_Emotion_Task,2022.2.4,None,
