name,behave,evaluation,number,cond,situation,reason,propose,ending,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,image.started,mouse_4.started,mouse_4.x,mouse_4.y,mouse_4.leftButton,mouse_4.midButton,mouse_4.rightButton,mouse_4.time,key_resp.started,image_2.started,key_resp.keys,key_resp.rt,back.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,predictp.started,mouse_2.started,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,predictp_2.started,mouse_3.started,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.time,text.started,predictp_3.started,slider.started,text_2.started,text_3.started,text_4.started,slider.response,slider.rt,text_6.started,text_6.stopped,text_5.started,text_5.stopped,key_resp_6.started,key_resp_6.stopped,key_resp_6.keys,key_resp_2.started,key_resp_2.stopped,image_3.started,image_3.stopped,key_resp_2.keys,predictp_2.stopped,mouse_3.stopped,predictp_3.stopped,text.stopped,key_resp_2.rt,key_resp_6.rt,participant,session,randomization,date,expName,psychopyVersion,frameRate,
王丽,王丽戴橡胶手套检查病人。病人,王丽戴橡胶手套检查病人这种行为是：,7,goodPhappyE,materials/situations/7.PNG,materials/happyreason/7.PNG,materials/goodpropose/7.PNG,materials/happyending/7.PNG,0,8,8,8,,,,,,,,,,,,,288.83930899999996,0.009086600000046019,[0.14305555555555555],[-0.10555555555555556],[1],[0],[0],[4.092712500000289],292.93652139999995,0.008376400000088324,[0.15069444444444444],[-0.10486111111111111],[1],[0],[0],[5.074275700000271],298.0203405000002,0.00880619999998089,[0.15069444444444444],[-0.09722222222222222],[1],[0],[0],[1.8742521000003762],299.93794160000016,302.91662180000003,305.2400596000002,305.2400596000002,305.2400596000002,305.2400596000002,6.005208333333333,4.276921399999992,309.4966383000001,313.4980446999998,313.4980446999998,313.4980446999998,313.4980446999998,313.4980446999998,None,313.4980446999998,313.4980446999998,313.4980446999998,313.4980446999998,None,,,,,,,101,1,-1,2023-02-20_10h13.31.440,Moral_Emotion_Task,2022.2.4,None,
严浩,严浩没有让乘客系好安全带。飞船开动后，这名乘客,严浩没有让乘客系好安全带这种行为：,45,badPsadE,materials/situations/45.PNG,materials/sadreason/45.PNG,materials/badpropose/45.PNG,materials/sadending/45.PNG,0,9,9,9,,,,,,,,,,,,,313.4980446999998,0.008736399999634159,[0.27361111111111114],[-0.018055555555555554],[1],[0],[0],[2.9139052000000447],316.4317036000002,0.010453299999880983,[0.049305555555555554],[-0.017361111111111112],[1],[0],[0],[4.503723199999968],320.9363794000001,0.009029499999996915,[],[],[],[],[],[],323.27265720000014,326.2434923999999,328.55575420000014,328.55575420000014,328.55575420000014,328.55575420000014,1,4.44034210000018,332.9894390999998,337.99290710000014,337.99290710000014,337.99290710000014,337.99290710000014,337.99290710000014,None,337.99290710000014,337.99290710000014,337.99290710000014,337.99290710000014,None,,,,,,,101,1,-1,2023-02-20_10h13.31.440,Moral_Emotion_Task,2022.2.4,None,
赵晨,赵晨鼓励朋友下去游泳。赵晨的朋友在池塘,赵晨鼓励朋友下去游泳这种行为：,25,goodPhappyE,materials/situations/25.PNG,materials/happyreason/25.PNG,materials/goodpropose/25.PNG,materials/happyending/25.PNG,0,10,10,10,,,,,,,,,,,,,337.99290710000014,0.008385700000417273,[0.05347222222222222],[-0.125],[1],[0],[0],[3.721439200000077],341.7235360999998,0.007852199999888398,[0.05347222222222222],[-0.125],[1],[0],[0],[3.0747584000000643],344.80707500000017,0.01141639999968902,[],[],[],[],[],[],347.1232057000002,350.1056724,352.4099188,352.4099188,352.4099188,352.4099188,4.015625,3.3162413000000015,355.72953270000016,361.73115899999993,361.73115899999993,361.73115899999993,361.73115899999993,361.73115899999993,None,361.73115899999993,361.73115899999993,361.73115899999993,361.73115899999993,None,,,352.4099188,,,,101,1,-1,2023-02-20_10h13.31.440,Moral_Emotion_Task,2022.2.4,None,
陈钢,陈钢同意飞机起飞。飞机,陈钢没有再要求清理跑道这种行为是：,16,badPhappyE,materials/situations/16.PNG,materials/happyreason/16.PNG,materials/badpropose/16.PNG,materials/happyending/16.PNG,0,11,11,11,,,,,,,,,,,,,361.73115899999993,0.0071378000002368935,[0.06458333333333334],[-0.13333333333333333],[1],[0],[0],[3.6297687000001133],365.3728801000002,0.0115869000001112,[0.04652777777777778],[-0.125],[1],[0],[0],[2.46675950000008],367.849068,0.008136200000080862,[0.09305555555555556],[-0.15833333333333333],[1],[0],[0],[2.0863405999998577],369.9443117999999,372.9525027999998,375.2851953999998,375.2851953999998,375.2851953999998,375.2851953999998,2.994791666666667,6.282620400000269,381.5334134,384.5385593000001,384.5385593000001,384.5385593000001,384.5385593000001,384.5385593000001,None,384.5385593000001,384.5385593000001,384.5385593000001,384.5385593000001,None,,,,,,,101,1,-1,2023-02-20_10h13.31.440,Moral_Emotion_Task,2022.2.4,None,
李明,李明继续开车回家。这个路人,李明继续开车回家这种行为是：,9,badPsadE,materials/situations/9.PNG,materials/sadreason/9.PNG,materials/badpropose/9.PNG,materials/sadending/9.PNG,0,12,12,12,,,,,,,,,,,,,384.5385593000001,0.009038799999871117,[0.07708333333333334],[-0.10277777777777777],[1],[0],[0],[2.546873599999799],387.09368700000005,0.00805339999988064,[0.007638888888888889],[-0.09305555555555556],[1],[0],[0],[4.396989500000018],391.50130260000014,0.010870800000247982,[0.034027777777777775],[-0.10277777777777777],[1],[0],[0],[2.031795299999885],393.5434627999998,396.5578085000002,398.86270490000015,398.86270490000015,398.86270490000015,398.86270490000015,3.0,5.162917199999811,404.0225623000001,409.03035739999996,409.03035739999996,409.03035739999996,409.03035739999996,409.03035739999996,None,409.03035739999996,409.03035739999996,409.03035739999996,409.03035739999996,None,,,,,,,101,1,-1,2023-02-20_10h13.31.440,Moral_Emotion_Task,2022.2.4,None,
徐娜,徐娜叫她的朋友到冰屋里玩。她的朋友,徐娜叫朋友到冰屋里玩这种行为是：,19,goodPsadE,materials/situations/19.PNG,materials/sadreason/19.PNG,materials/goodpropose/19.PNG,materials/sadending/19.PNG,0,13,13,13,,,,,,,,,,,,,409.03035739999996,0.008633599999939179,[0.043055555555555555],[-0.15694444444444444],[1],[0],[0],[5.112217999999757],414.1506062000003,0.007780100000672974,[0.050694444444444445],[-0.16458333333333333],[1],[0],[0],[1.9135498999994525],416.0758529,0.00979269999970711,[0.043055555555555555],[-0.17291666666666666],[1],[0],[0],[2.2541466999991826],418.33648010000024,421.3515677999999,423.68046319999985,423.68046319999985,423.68046319999985,423.68046319999985,3.8697916666666665,5.6661661999996795,429.32018930000004,433.32364929999994,433.32364929999994,433.32364929999994,433.32364929999994,433.32364929999994,None,433.32364929999994,433.32364929999994,433.32364929999994,433.32364929999994,None,,,,,,,101,1,-1,2023-02-20_10h13.31.440,Moral_Emotion_Task,2022.2.4,None,
罗兰,罗兰把蘑菇给朋友吃。罗兰的朋友,罗兰把蘑菇送给朋友吃这种行为是：,6,badPhappyE,materials/situations/6.PNG,materials/happyreason/6.PNG,materials/badpropose/6.PNG,materials/happyending/6.PNG,0,14,14,14,,,,,,,,,,,,,433.32364929999994,0.007817599999725644,[-0.017361111111111112],[-0.19930555555555557],[1],[0],[0],[3.12004270000034],436.45434539999997,0.009795100000701495,[-0.025],[-0.19166666666666668],[1],[0],[0],[1.5295184000005975],437.99596599999995,0.007983999999851221,[-0.041666666666666664],[-0.19166666666666668],[1],[0],[0],[2.1751115000006394],440.1790341000001,443.1815492999999,445.4860921000004,445.4860921000004,445.4860921000004,445.4860921000004,2.192708333333333,3.7398419999999533,449.22719110000025,453.22870920000014,453.22870920000014,453.22870920000014,453.22870920000014,453.22870920000014,None,453.22870920000014,453.22870920000014,453.22870920000014,453.22870920000014,None,,,,,,,101,1,-1,2023-02-20_10h13.31.440,Moral_Emotion_Task,2022.2.4,None,
罗格,罗格没有管他的朋友。他的朋友,罗格没有管他的朋友这种行为是：,15,goodPhappyE,materials/situations/15.PNG,materials/happyreason/15.PNG,materials/goodpropose/15.PNG,materials/happyending/15.PNG,0,15,15,15,,,,,,,,,,,,,453.22870920000014,0.007519200000388082,[0.07569444444444444],[-0.035416666666666666],[1],[0],[0],[3.4117829999995593],456.6477380000001,0.009385699999256758,[0.13680555555555557],[-0.044444444444444446],[1],[0],[0],[2.6442808000001605],459.30066450000004,0.008346099999471335,[0.15347222222222223],[-0.035416666666666666],[1],[0],[0],[1.8624114999993253],461.1980632,464.1791922999996,466.4851872000004,466.4851872000004,466.4851872000004,466.4851872000004,3.0625,3.7158394999996744,470.2023815999996,473.20280839999987,473.20280839999987,473.20280839999987,473.20280839999987,473.20280839999987,None,473.20280839999987,473.20280839999987,473.20280839999987,473.20280839999987,None,,,,,,,101,1,-1,2023-02-20_10h13.31.440,Moral_Emotion_Task,2022.2.4,None,
许乐,许乐让男朋友去碎浪那边游泳。她的男朋友,许乐让男朋友去碎浪那边游泳这种行为：,42,badPsadE,materials/situations/42.PNG,materials/sadreason/42.PNG,materials/badpropose/42.PNG,materials/sadending/42.PNG,0,16,16,16,,,,,,,,,,,,,473.20280839999987,0.006871999999930267,[-0.14097222222222222],[-0.19236111111111112],[1],[0],[0],[2.1943246000000727],475.4045965999999,0.00767450000057579,[-0.14097222222222222],[-0.19236111111111112],[1],[0],[0],[2.7431625999997777],478.15968099999964,0.008220799999435258,[],[],[],[],[],[],480.4593823,483.4655391000001,485.7692258000002,485.7692258000002,485.7692258000002,485.7692258000002,1.921875,6.711202200000116,492.4890247999997,498.5009882999998,498.5009882999998,498.5009882999998,498.5009882999998,498.5009882999998,None,498.5009882999998,498.5009882999998,498.5009882999998,498.5009882999998,None,,,,,,,101,1,-1,2023-02-20_10h13.31.440,Moral_Emotion_Task,2022.2.4,None,
乔南,乔南点燃熏香。毒气充斥着整座房屋，把害虫都杀光了。邻居的妈妈,乔南点燃熏香这种行为：,35,badPhappyE,materials/situations/35.PNG,materials/happyreason/35.PNG,materials/badpropose/35.PNG,materials/happyending/35.PNG,0,17,17,17,,,,,,,,,,,,,498.5009882999998,0.008844300000419025,[-0.21805555555555556],[-0.15486111111111112],[1],[0],[0],[4.620607699999709],503.1317396999998,0.008616600000095787,[-0.19930555555555557],[-0.18055555555555555],[1],[0],[0],[3.099314900000536],506.2431885000001,0.01277490000029502,[],[],[],[],[],[],508.5994624,511.54867369999965,513.8801521,513.8801521,513.8801521,513.8801521,4.958333333333333,7.1657357000003685,521.0240398999999,526.0269354999996,526.0269354999996,526.0269354999996,526.0269354999996,526.0269354999996,None,526.0269354999996,526.0269354999996,526.0269354999996,526.0269354999996,None,,,,,,,101,1,-1,2023-02-20_10h13.31.440,Moral_Emotion_Task,2022.2.4,None,
