name,behave,evaluation,number,cond,situation,reason,propose,ending,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,image.started,key_resp.started,key_resp.keys,key_resp.rt,back.started,key_resp_2.started,key_resp_2.keys,key_resp_2.rt,predictp.started,key_resp_3.started,key_resp_3.keys,key_resp_3.rt,predictp_2.started,key_resp_5.started,key_resp_5.keys,text.started,predictp_3.started,slider.started,text_2.started,text_3.started,text_4.started,slider.response,slider.rt,text_5.started,text_5.stopped,key_resp_6.started,key_resp_6.stopped,key_resp_6.keys,key_resp_5.rt,text.stopped,key_resp_6.rt,participant,session,randomization,date,expName,psychopyVersion,frameRate,
徐雷,徐雷让女朋友过桥。徐雷的女朋友,徐雷让女朋友过桥这种行为是：,4,badPhappyE,materials/situations/4.PNG,materials/happyreason/4.PNG,materials/badpropose/4.PNG,materials/happyending/4.PNG,0,9,9,9,,,,,118.72671990000163,118.72671990000163,space,2.636983299998974,121.38094980000096,121.38094980000096,space,1.500594799999817,122.89622009999948,122.89622009999948,None,125.19695560000036,128.20305680000092,130.50558979999914,130.50558979999914,130.50558979999914,130.50558979999914,2.3697916666666665,2.1065785999999207,132.62227640000128,132.62227640000128,132.62227640000128,132.62227640000128,None,,,,255940,1,-1,2023-01-10_18h01.55.954,Moral_Emotion_Task,2022.2.4,166.7125126094075,
王齐,王齐向同事推荐金枪鱼。他的一个同事吃了这道菜后，,王齐向同事推荐金枪鱼这种行为：,33,goodPsadE,materials/situations/33.PNG,materials/sadreason/33.PNG,materials/goodpropose/33.PNG,materials/sadending/33.PNG,0,10,10,10,,,,,132.62227640000128,132.62227640000128,space,2.8731259999985923,135.50998139999865,135.50998139999865,space,1.8798131000003195,137.4104316999983,137.4104316999983,None,139.7172185999989,142.71136370000022,145.01496190000034,145.01496190000034,145.01496190000034,145.01496190000034,4.692708333333333,2.568175099997461,147.59290840000176,147.59290840000176,147.59290840000176,147.59290840000176,None,,,,255940,1,-1,2023-01-10_18h01.55.954,Moral_Emotion_Task,2022.2.4,166.7125126094075,
史琴,史琴给朋友系上安全带。她的朋友,史琴给朋友系上安全带这种行为是：,18,goodPhappyE,materials/situations/18.PNG,materials/happyreason/18.PNG,materials/goodpropose/18.PNG,materials/happyending/18.PNG,0,11,11,11,,,,,147.59290840000176,147.59290840000176,space,2.995729599999322,150.6131306999996,150.6131306999996,space,0.6968868000003567,151.33171940000102,151.33171940000102,space,152.02740170000106,155.0386385999991,157.33493010000166,157.33493010000166,157.33493010000166,157.33493010000166,7,0.8748680999997305,158.2206659000003,158.2206659000003,158.2206659000003,158.2206659000003,None,0.6810036999995646,,,255940,1,-1,2023-01-10_18h01.55.954,Moral_Emotion_Task,2022.2.4,166.7125126094075,
唐巧,唐巧让男孩走进冒烟的房子。男孩,唐巧让男孩走进冒烟房子这种行为是：,24,badPsadE,materials/situations/24.PNG,materials/sadreason/24.PNG,materials/badpropose/24.PNG,materials/sadending/24.PNG,0,12,12,12,,,,,158.2206659000003,158.2206659000003,space,2.7698159999999916,161.01142230000187,161.01142230000187,space,2.112207300000591,163.14488060000076,163.14488060000076,space,164.3708501000001,167.37941710000086,169.6757824999986,169.6757824999986,169.6757824999986,169.6757824999986,1.3385416666666665,1.549345600000379,171.2332475000003,171.2332475000003,171.2332475000003,171.2332475000003,None,1.207732800001395,,,255940,1,-1,2023-01-10_18h01.55.954,Moral_Emotion_Task,2022.2.4,166.7125126094075,
刘莎,刘莎把绳索卖给顾客。顾客使用这条绳索攀岩时,刘莎把绳索卖给顾客这种行为：,30,goodPsadE,materials/situations/30.PNG,materials/sadreason/30.PNG,materials/goodpropose/30.PNG,materials/sadending/30.PNG,0,13,13,13,,,,,171.2332475000003,171.2332475000003,space,1.7678108000000066,173.0265724000019,173.0265724000019,space,2.071497000000818,175.11383600000045,175.11383600000045,space,176.5562017000011,179.55398340000102,181.85015600000042,181.85015600000042,181.85015600000042,181.85015600000042,2.640625,8.09852519999913,189.954022599999,189.954022599999,189.954022599999,189.954022599999,None,1.4147792000003392,,,255940,1,-1,2023-01-10_18h01.55.954,Moral_Emotion_Task,2022.2.4,166.7125126094075,
马超,马超继续读着报纸。孩子,马超继续读着报纸这种行为：,44,goodPhappyE,materials/situations/44.PNG,materials/happyreason/44.PNG,materials/goodpropose/44.PNG,materials/happyending/44.PNG,0,14,14,14,,,,,189.954022599999,189.954022599999,space,1.4161544000016875,191.38752190000014,191.38752190000014,space,4.434292099998856,195.8364146999993,195.8364146999993,space,197.53035630000159,200.53545790000135,202.8364771000015,202.8364771000015,202.8364771000015,202.8364771000015,5.020833333333333,3.350382799999352,206.1922623999999,206.1922623999999,206.1922623999999,206.1922623999999,None,1.6824708000021928,,,255940,1,-1,2023-01-10_18h01.55.954,Moral_Emotion_Task,2022.2.4,166.7125126094075,
陈强,陈强挥手让堂兄去捡球。堂兄跑去捡球，,陈强挥手让堂兄去捡球这种行为：,37,badPsadE,materials/situations/37.PNG,materials/sadreason/37.PNG,materials/badpropose/37.PNG,materials/sadending/37.PNG,0,15,15,15,,,,,206.1922623999999,206.1922623999999,space,2.681395199997496,208.8943732000007,208.8943732000007,space,1.8531202000012854,210.77436429999943,210.77436429999943,space,212.8280253999983,215.83282150000014,218.1362130999987,218.1362130999987,218.1362130999987,218.1362130999987,2.6875,0.9421144999978424,219.08684880000146,219.08684880000146,219.08684880000146,219.08684880000146,None,2.0441644999991695,215.83282150000014,,255940,1,-1,2023-01-10_18h01.55.954,Moral_Emotion_Task,2022.2.4,166.7125126094075,
路明,路明让伙伴爬上树屋。他的朋友,路明让伙伴爬上树屋这种行为：,41,goodPhappyE,materials/situations/41.PNG,materials/happyreason/41.PNG,materials/goodpropose/41.PNG,materials/happyending/41.PNG,0,16,16,16,,,,,219.08684880000146,219.08684880000146,space,2.224931100001413,221.32556660000046,221.32556660000046,space,1.3463823999991291,222.68796780000048,222.68796780000048,space,223.43463930000144,226.4385930999997,228.7401890000001,228.7401890000001,228.7401890000001,228.7401890000001,5.932291666666666,4.821238299999095,233.5660070999984,233.5660070999984,233.5660070999984,233.5660070999984,None,0.7299424000011641,,,255940,1,-1,2023-01-10_18h01.55.954,Moral_Emotion_Task,2022.2.4,166.7125126094075,
韩珍,韩珍悄悄走开。小孩,韩珍悄悄走开这种行为是：,5,goodPhappyE,materials/situations/5.PNG,materials/happyreason/5.PNG,materials/goodpropose/5.PNG,materials/happyending/5.PNG,0,17,17,17,,,,,233.5660070999984,233.5660070999984,space,1.5125761999988754,235.093850199999,235.093850199999,space,1.4382487000002584,236.5500194999986,236.5500194999986,space,237.4770294000009,240.4811794999987,242.7841738999996,242.7841738999996,242.7841738999996,242.7841738999996,5.166666666666666,1.6570240000000922,244.45090730000084,244.45090730000084,244.45090730000084,244.45090730000084,None,0.9200879999989411,240.4811794999987,,255940,1,-1,2023-01-10_18h01.55.954,Moral_Emotion_Task,2022.2.4,166.7125126094075,
郑宇,郑宇没有阻止朋友开枪。子弹射中了,郑宇没有阻止朋友开枪这种行为：,26,badPsadE,materials/situations/26.PNG,materials/sadreason/26.PNG,materials/badpropose/26.PNG,materials/sadending/26.PNG,0,18,18,18,,,,,244.45090730000084,244.45090730000084,space,2.6234008999999787,247.08750449999934,247.08750449999934,space,1.0140399000010802,248.11775439999838,248.11775439999838,None,250.42390370000066,253.42002090000096,255.72705750000023,255.72705750000023,255.72705750000023,255.72705750000023,2.291666666666667,3.2523375999990094,258.9902002000017,258.9902002000017,258.9902002000017,258.9902002000017,None,,,,255940,1,-1,2023-01-10_18h01.55.954,Moral_Emotion_Task,2022.2.4,166.7125126094075,
马慧,马慧没有阻止堂兄走进厨房。她的堂兄,马慧没有阻止堂兄进厨房这种行为是：,21,goodPhappyE,materials/situations/21.PNG,materials/happyreason/21.PNG,materials/goodpropose/21.PNG,materials/happyending/21.PNG,0,19,19,19,,,,,258.9902002000017,258.9902002000017,space,3.584739999998419,262.5958821999993,262.5958821999993,space,3.115199300002132,265.72981300000174,265.72981300000174,space,266.6602654999988,269.6673999000013,271.96267250000164,271.96267250000164,271.96267250000164,271.96267250000164,4.927083333333333,5.377396200001385,277.33791570000176,,277.33791570000176,,space,0.9135351999975683,,21.334850499999447,255940,1,-1,2023-01-10_18h01.55.954,Moral_Emotion_Task,2022.2.4,166.7125126094075,
苏珍,苏珍把学生分到非过敏体质班。这个学生,苏珍把学生分到非过敏体质班这种行为：,28,badPsadE,materials/situations/28.PNG,materials/sadreason/28.PNG,materials/badpropose/28.PNG,materials/sadending/28.PNG,0,20,20,20,,,,,298.68809129999863,298.68809129999863,space,1.3022156000006362,300.00284660000034,300.00284660000034,space,0.8750523000016983,300.8938983000007,300.8938983000007,space,302.96028410000145,305.9644154999987,308.2663481999989,308.2663481999989,308.2663481999989,308.2663481999989,2.0208333333333335,3.4723874000010255,311.7352323999985,,311.7352323999985,,space,2.0513828999974066,,4.575149899999815,255940,1,-1,2023-01-10_18h01.55.954,Moral_Emotion_Task,2022.2.4,166.7125126094075,
罗兰,罗兰把蘑菇给朋友吃。罗兰的朋友,罗兰把蘑菇送给朋友吃这种行为是：,6,goodPsadE,materials/situations/6.PNG,materials/sadreason/6.PNG,materials/goodpropose/6.PNG,materials/sadending/6.PNG,0,21,21,21,,,,,316.3234502000014,316.3234502000014,space,4.325534499999776,320.66181399999914,320.66181399999914,space,0.790363600001001,321.4689928000007,321.4689928000007,space,323.27609999999913,326.289252999999,328.58533199999874,328.58533199999874,328.58533199999874,328.58533199999874,2.708333333333333,1.3376424999987648,329.9210501000016,,329.9210501000016,,space,1.7991828999984136,,4.729087700001401,255940,1,-1,2023-01-10_18h01.55.954,Moral_Emotion_Task,2022.2.4,166.7125126094075,
徐娜,徐娜叫她的朋友到冰屋里玩。她的朋友,徐娜叫朋友到冰屋里玩这种行为是：,19,goodPhappyE,materials/situations/19.PNG,materials/happyreason/19.PNG,materials/goodpropose/19.PNG,materials/happyending/19.PNG,0,22,22,22,,,,,334.66815000000133,334.66815000000133,space,9.575138699998206,344.2575825999993,344.2575825999993,space,0.7861381000002439,345.06139110000004,345.06139110000004,space,345.5652603000017,348.56937820000167,350.8656155999997,350.8656155999997,350.8656155999997,350.8656155999997,5.453125,1.3828324999994948,352.2448045000019,,352.2448045000019,,space,0.4835717999994813,,2.503128699998342,255940,1,-1,2023-01-10_18h01.55.954,Moral_Emotion_Task,2022.2.4,166.7125126094075,
刘莎,刘莎把绳索卖给顾客。顾客使用这条绳索攀岩时,刘莎把绳索卖给顾客这种行为：,30,goodPsadE,materials/situations/30.PNG,materials/sadreason/30.PNG,materials/goodpropose/30.PNG,materials/sadending/30.PNG,0,23,23,23,,,,,354.76390320000064,354.76390320000064,escape,0.7185759999993024,355.49833149999904,355.49833149999904,space,1.5057419000004302,357.01958430000013,357.01958430000013,None,359.31816750000144,362.3211564000012,364.62509480000153,364.62509480000153,364.62509480000153,364.62509480000153,2.989583333333333,3.4083878000019467,368.0341260999994,,368.0341260999994,,escape,,,1.189614300001267,255940,1,-1,2023-01-10_18h01.55.954,Moral_Emotion_Task,2022.2.4,166.7125126094075,
,,,,,,,,,,,,,,,,,369.2422484000017,369.2422484000017,escape,0.18241370000032475,369.43818739999915,369.43818739999915,escape,0.3042940000013914,369.76501740000094,369.76501740000094,,,,,,,,,,,,,,,,,,,,,,,,,
