1.2957 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
1236.5436 	WARNING 	User requested fullscreen with size [1707  960], but screen is actually [2560, 1440]. Using actual size
1238.7431 	WARNING 	Couldn't measure a consistent frame rate!
  - Is your graphics card set to sync to vertical blank?
  - Are you running other processes on your computer?

1238.7433 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([-1., -1., -1.]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001EFC2478F70>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x000001EFC440CF70>, multiSample=False, name='window1', numSamples=2, pos=(0, 0), screen=0, size=array([2560, 1440]), stencilBits=0, stereo=False, units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
1238.7434 	EXP 	window1: mouseVisible = True
1238.7440 	EXP 	window1: mouseVisible = False
1238.7440 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
1238.7440 	EXP 	window1: recordFrameIntervals = False
1238.8580 	EXP 	window1: recordFrameIntervals = True
1238.9660 	WARNING 	t of last frame was 21.40ms (=1/46)
1239.8584 	WARNING 	Couldn't measure a consistent frame rate!
  - Is your graphics card set to sync to vertical blank?
  - Are you running other processes on your computer?

1241.1528 	EXP 	Created image = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1, 1, 1]), colorSpace='rgb', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, image='materials/word.png', interpolate=True, mask=None, maskParams=None, name='image', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([1.28, 0.72]), texRes=128.0, units='height', win=Window(...))
1241.1539 	EXP 	window1: mouseVisible = True
1241.1911 	EXP 	Created image_2 = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1, 1, 1]), colorSpace='rgb', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, image='materials/fig.png', interpolate=True, mask=None, maskParams=None, name='image_2', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([1.28, 0.72]), texRes=128.0, units='height', win=Window(...))
1241.1946 	EXP 	Created back = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1, 1, 1]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, image='sin', interpolate=True, mask=None, maskParams=None, name='back', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([1.28, 0.72]), texRes=128.0, units='height', win=Window(...))
1241.1948 	EXP 	window1: mouseVisible = True
1241.1975 	EXP 	Created predictp = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1, 1, 1]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, image='sin', interpolate=True, mask=None, maskParams=None, name='predictp', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([1.28, 0.72]), texRes=128.0, units='height', win=Window(...))
1241.1976 	EXP 	window1: mouseVisible = True
1241.2006 	EXP 	Created predictp_2 = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1, 1, 1]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, image='sin', interpolate=True, mask=None, maskParams=None, name='predictp_2', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([1.28, 0.72]), texRes=128.0, units='height', win=Window(...))
1241.2006 	EXP 	window1: mouseVisible = True
1241.2174 	EXP 	Created text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1, 1, 1]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.04, italic=False, languageStyle='LTR', name='text', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='', units='height', win=Window(...), wrapWidth=1)
1241.2218 	EXP 	Created predictp_3 = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1, 1, 1]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, image='sin', interpolate=True, mask=None, maskParams=None, name='predictp_3', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([1.28, 0.72]), texRes=128.0, units='height', win=Window(...))
1241.2258 	EXP 	window1: mouseVisible = True
1241.4016 	EXP 	Created slider = Slider(__class__=<class 'psychopy.visual.slider.Slider'>, autoDraw=False, autoLog=True, borderColor=None, color=None, colorSpace='rgb', depth=-1, fillColor=None, flip=False, font='Arial', granularity=0.0, labelColor=None, labelHeight=0.05, labelWrapWidth=None, labels=[1, 2, 3, 4, 5, 6, 7], lineColor=None, markerColor=None, name='slider', opacity=None, ori=0.0, pos=array([ 0. , -0.2]), readOnly=False, self=UNKNOWN, size=array([0.8 , 0.08]), startValue=4, style='rating', styleTweaks=[], ticks=array([1, 2, 3, 4, 5, 6, 7]), units='height', win=Window(...))
1241.4364 	EXP 	Created text_2 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([ 1,  1, -1]), colorSpace='rgb', contrast=1.0, depth=-2.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.04, italic=False, languageStyle='LTR', name='text_2', opacity=1.0, ori=0.0, pos=array([-0.01, -0.13]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=2.0)
1241.4373 	EXP 	Created text_3 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([-1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=-3.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text_3', opacity=1.0, ori=0.0, pos=array([0. , 0.2]), rgb=UNKNOWN, text='', units='height', win=Window(...), wrapWidth=1)
1241.4485 	EXP 	Created text_4 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1, 1, 1]), colorSpace='rgb', contrast=1.0, depth=-4.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text_4', opacity=1.0, ori=0.0, pos=array([ 0. , -0.4]), rgb=UNKNOWN, text='请使用鼠标移动滑块以给出您的评分', units='height', win=Window(...), wrapWidth=1)
1241.4523 	EXP 	Created text_6 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1, 1, 1]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text_6', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='+', units='height', win=Window(...), wrapWidth=1)
1241.4734 	EXP 	Created text_5 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1, 1, 1]), colorSpace='rgb', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text_5', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='您现在已经完成了新25个试次，\n\n您可以休息一会儿\n\n按任意键以继续实验', units='height', win=Window(...), wrapWidth=1)
1241.5023 	EXP 	Created image_3 = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1, 1, 1]), colorSpace='rgb', contrast=1.0, depth=-2.0, flipHoriz=False, flipVert=False, image='materials/fig.png', interpolate=True, mask=None, maskParams=None, name='image_3', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([1.28, 0.72]), texRes=128.0, units='height', win=Window(...))
1241.5144 	EXP 	Created text_11 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1, 1, 1]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text_11', opacity=1.0, ori=0.0, pos=array([ 0. , -0.2]), rgb=UNKNOWN, text='您现在已经完成了上机部分的实验，\n\n请您休息一会儿，\n谢谢您的参与！', units='height', win=Window(...), wrapWidth=1)
1241.5582 	WARNING 	t of last frame was 1699.89ms (=1/0)
1241.5582 	EXP 	slider: autoLog = True
1241.5582 	EXP 	slider: markerPos = 4
1241.5582 	EXP 	slider: styleTweaks = []
1241.5582 	EXP 	slider: styleTweaks = []
1241.5582 	EXP 	slider: styleTweaks = []
1241.5582 	EXP 	slider: styleTweaks = []
1241.5582 	EXP 	slider: contrast = 1.0
1241.5582 	EXP 	slider: autoLog = True
1241.5582 	EXP 	image: autoDraw = True
1251.2925 	WARNING 	t of last frame was 20.77ms (=1/48)
1252.8543 	WARNING 	t of last frame was 26.18ms (=1/38)
1258.5078 	DATA 	Mouse: Left button down, pos=(1202,202)
1258.5278 	EXP 	image: autoDraw = False
1258.5278 	EXP 	image_2: autoDraw = True
1258.9259 	DATA 	Mouse:  Left button up, pos=(1238,238)
1281.8916 	WARNING 	Multiple dropped frames have occurred - I'll stop bothering you about them!
1282.8583 	EXP 	Imported sessions/session1/order_7.xlsx as conditions, 160 conditions, 9 params
1282.8596 	EXP 	Created sequence: sequential, trialTypes=160, nReps=1, seed=None
1282.8598 	EXP 	New trial (rep=0, index=0): {'name': '路明', 'behave': '路明让伙伴爬上树屋。他的朋友', 'evaluation': '路明让伙伴爬上树屋这种行为：', 'number': 41, 'cond': 'goodPhappyE', 'situation': 'materials/situations/41.PNG', 'reason': 'materials/happyreason/41.PNG', 'propose': 'materials/goodpropose/41.PNG', 'ending': 'materials/happyending/41.PNG'}
1282.8696 	DATA 	Keypress: s
1282.8779 	EXP 	image_2: autoDraw = False
1282.8779 	EXP 	back: image = 'materials/situations/41.PNG'
1282.8779 	EXP 	back: autoDraw = True
1289.1565 	DATA 	Mouse: Left button down, pos=(999,742)
1289.1781 	EXP 	back: autoDraw = False
1289.1781 	EXP 	predictp: image = 'materials/happyreason/41.PNG'
1289.1781 	EXP 	predictp: autoDraw = True
1289.4235 	DATA 	Mouse:  Left button up, pos=(999,742)
1293.2423 	DATA 	Mouse: Left button down, pos=(996,755)
1293.2661 	EXP 	predictp: autoDraw = False
1293.2661 	EXP 	predictp_2: image = 'materials/goodpropose/41.PNG'
1293.2661 	EXP 	predictp_2: autoDraw = True
1293.6615 	DATA 	Mouse:  Left button up, pos=(996,755)
1295.5727 	EXP 	predictp_2: autoDraw = False
1295.5727 	EXP 	text: height = 0.04
1295.5727 	EXP 	text: height = 0.04
1295.5727 	EXP 	text: height = 0.04
1295.5727 	EXP 	text: text = '路明让伙伴爬上树屋。他的朋友'
1295.5727 	EXP 	text: autoDraw = True
1298.5638 	EXP 	text: autoDraw = False
1298.5638 	EXP 	predictp_3: image = 'materials/happyending/41.PNG'
1298.5638 	EXP 	predictp_3: autoDraw = True
1300.4834 	DATA 	Mouse: Left button down, pos=(923,718)
1300.7548 	DATA 	Mouse:  Left button up, pos=(923,718)
1300.8846 	EXP 	predictp_3: autoDraw = False
1300.8846 	EXP 	slider: markerPos = None
1300.8846 	EXP 	slider: markerPos = 4
