instructions.started,instructions.stopped,start_resp.keys,start_resp.rt,start_resp.duration,start_mouse.x,start_mouse.y,start_mouse.leftButton,start_mouse.midButton,start_mouse.rightButton,start_mouse.time,start_mouse.clicked_name,participant,what is your first language?,date,expName,psychopyVersion,OS,frameRate,trial.started,trial.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,correct,rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,this_word,critical_letter,letter_position,this_question,corr_ans,condition
0.0001,1.1153,space,1.0939,,,,,,,,,746123,,2023-10-20_10h18.29.233,word_superiority_effect,2023.2.2,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,746123,,2023-10-20_10h18.29.233,word_superiority_effect,2023.2.2,MacIntel,60.0024001,1.1283,7.0003,left,1,4.8413,,1,4.8413,,,,,,,,0,0,0,9,1,AODL,O,2,Did the word contain the letter O?,left,nonword
,,,,,,,,,,,,746123,,2023-10-20_10h18.29.233,word_superiority_effect,2023.2.2,MacIntel,60.0024001,7.0105,9.3981,left,1,1.3679,,1,1.3679,,,,,,,,0,1,1,1,1,RWOK,K,4,"Did the word contain the letter ""K""",left,nonword
,,,,,,,,,,,,746123,,2023-10-20_10h18.29.233,word_superiority_effect,2023.2.2,MacIntel,60.0024001,9.4087,10.9825,left,1,0.5553,,1,0.5553,,,,,,,,0,2,2,5,1,RCAD,C,1,Did the word contain the letter C?,left,nonword
,,,,,,,,,,,,746123,,2023-10-20_10h18.29.233,word_superiority_effect,2023.2.2,MacIntel,60.0024001,10.9828,12.4663,left,0,0.4549,,1,0.5553,,,,,,,,0,3,3,10,1,LEAD,O,2,Did the word contain the letter O?,right,word
,,,,,,,,,,,,746123,,2023-10-20_10h18.29.233,word_superiority_effect,2023.2.2,MacIntel,60.0024001,12.4667,13.9326,left,0,0.4419,,1,0.5553,,,,,,,,0,4,4,14,1,SNAP,I,3,Did the word contain the letter I?,right,word
,,,,,,,,,,,,746123,,2023-10-20_10h18.29.233,word_superiority_effect,2023.2.2,MacIntel,60.0024001,13.9333,15.8804,left,1,0.9177,,1,0.5553,,,,,,,,0,5,5,4,1,CARD,C,1,Did the word contain the letter C?,left,word
,,,,,,,,,,,,746123,,2023-10-20_10h18.29.233,word_superiority_effect,2023.2.2,MacIntel,60.0024001,15.8812,17.2634,left,0,0.3665,,1,0.5553,,,,,,,,0,6,6,6,1,LARD,C,1,Did the word contain the letter C?,right,word
,,,,,,,,,,,,746123,,2023-10-20_10h18.29.233,word_superiority_effect,2023.2.2,MacIntel,60.0024001,17.2639,18.6325,left,0,0.3501,,0,0.3501,,,,,,,,0,7,7,3,1,RWOD,K,4,Did the word contain the letter K?,right,nonword
,,,,,,,,,,,,746123,,2023-10-20_10h18.29.233,word_superiority_effect,2023.2.2,MacIntel,60.0024001,18.6329,19.9157,left,0,0.2494,,0,0.3501,,,,,,,,0,8,8,2,1,WORD,K,4,Did the word contain the letter K?,right,word
,,,,,,,,,,,,746123,,2023-10-20_10h18.29.233,word_superiority_effect,2023.2.2,MacIntel,60.0024001,19.9164,21.2507,left,0,0.2989,,0,0.2989,,,,,,,,0,9,9,15,1,PNAS,I,3,Did the word contain the letter I?,right,nonword
,,,,,,,,,,,,746123,,2023-10-20_10h18.29.233,word_superiority_effect,2023.2.2,MacIntel,60.0024001,21.2512,22.5172,left,1,0.2352,,0,0.2989,,,,,,,,0,10,10,0,1,WORK,K,4,"Did the word contain the letter ""K""",left,word
,,,,,,,,,,,,746123,,2023-10-20_10h18.29.233,word_superiority_effect,2023.2.2,MacIntel,60.0024001,22.5176,23.7623,left,1,0.2191,,0,0.2989,,,,,,,,0,11,11,12,1,SNIP,I,3,Did the word contain the letter I?,left,word
,,,,,,,,,,,,746123,,2023-10-20_10h18.29.233,word_superiority_effect,2023.2.2,MacIntel,60.0024001,23.7626,25.0323,left,1,0.2577,,1,0.2577,,,,,,,,0,12,12,13,1,PNIS,I,3,Did the word contain the letter I?,left,nonword
,,,,,,,,,,,,746123,,2023-10-20_10h18.29.233,word_superiority_effect,2023.2.2,MacIntel,60.0024001,25.033,26.3459,left,1,0.2827,,1,0.2577,,,,,,,,0,13,13,8,1,LOAD,O,2,Did the word contain the letter O?,left,word
,,,,,,,,,,,,746123,,2023-10-20_10h18.29.233,word_superiority_effect,2023.2.2,MacIntel,60.0024001,26.3463,27.6306,left,0,0.2717,,0,0.2717,,,,,,,,0,14,14,7,1,RLAD,C,1,Did the word contain the letter C?,right,nonword
,,,,,,,,,,,,746123,,2023-10-20_10h18.29.233,word_superiority_effect,2023.2.2,MacIntel,60.0024001,27.6309,29.0168,left,0,0.3675,,0,0.3675,,,,,,,,0,15,15,11,1,AEDL,O,2,Did the word contain the letter O?,right,nonword
