instructions.started,instructions.stopped,start_resp.keys,start_mouse.x,start_mouse.y,start_mouse.leftButton,start_mouse.midButton,start_mouse.rightButton,start_mouse.time,start_mouse.clicked_name,participant,what is your first language?,date,expName,psychopyVersion,OS,frameRate,trial.started,trial.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,correct,rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,this_word,critical_letter,letter_position,this_question,corr_ans,condition
0.0002,7.266,,-0.069787326,-0.388333333,1,0,0,6.2632,start,024931,,2023-10-20_10h16.30.912,word_superiority_effect,2023.2.2,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,024931,,2023-10-20_10h16.30.912,word_superiority_effect,2023.2.2,MacIntel,60.0024001,7.2787,10.7025,right,0,2.3951,,,,,,,,,,,0,0,0,12,1,SNIP,I,3,Did the word contain the letter I?,left,word
,,,,,,,,,,024931,,2023-10-20_10h16.30.912,word_superiority_effect,2023.2.2,MacIntel,60.0024001,10.7028,12.7366,right,1,0.9985,,,,,,,,,,,0,1,1,10,1,LEAD,O,2,Did the word contain the letter O?,right,word
,,,,,,,,,,024931,,2023-10-20_10h16.30.912,word_superiority_effect,2023.2.2,MacIntel,60.0024001,12.7373,14.0515,left,1,0.284,,1,0.284,,,,,,,,0,2,2,9,1,AODL,O,2,Did the word contain the letter O?,left,nonword
,,,,,,,,,,024931,,2023-10-20_10h16.30.912,word_superiority_effect,2023.2.2,MacIntel,60.0024001,14.052,15.3699,right,0,0.287,,0,0.287,,,,,,,,0,3,3,5,1,RCAD,C,1,Did the word contain the letter C?,left,nonword
,,,,,,,,,,024931,,2023-10-20_10h16.30.912,word_superiority_effect,2023.2.2,MacIntel,60.0024001,15.3705,16.6998,left,1,0.3007,,0,0.287,,,,,,,,0,4,4,0,1,WORK,K,4,"Did the word contain the letter ""K""",left,word
,,,,,,,,,,024931,,2023-10-20_10h16.30.912,word_superiority_effect,2023.2.2,MacIntel,60.0024001,16.7003,17.9828,left,1,0.2679,,1,0.2679,,,,,,,,0,5,5,13,1,PNIS,I,3,Did the word contain the letter I?,left,nonword
,,,,,,,,,,024931,,2023-10-20_10h16.30.912,word_superiority_effect,2023.2.2,MacIntel,60.0024001,17.9834,19.1664,left,1,0.175,,1,0.175,,,,,,,,0,6,6,1,1,RWOK,K,4,"Did the word contain the letter ""K""",left,nonword
,,,,,,,,,,024931,,2023-10-20_10h16.30.912,word_superiority_effect,2023.2.2,MacIntel,60.0024001,19.1669,20.4525,left,0,0.2679,,0,0.2679,,,,,,,,0,7,7,7,1,RLAD,C,1,Did the word contain the letter C?,right,nonword
,,,,,,,,,,024931,,2023-10-20_10h16.30.912,word_superiority_effect,2023.2.2,MacIntel,60.0024001,20.4532,21.7828,left,0,0.3024,,0,0.3024,,,,,,,,0,8,8,3,1,RWOD,K,4,Did the word contain the letter K?,right,nonword
