instructions.started,instructions.stopped,start_resp.keys,start_mouse.x,start_mouse.y,start_mouse.leftButton,start_mouse.midButton,start_mouse.rightButton,start_mouse.time,start_mouse.clicked_name,participant,what is your first language?,date,expName,psychopyVersion,OS,frameRate,trial.started,trial.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,correct,rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,this_word,critical_letter,letter_position,this_question,corr_ans,condition
,,,,,,,,,,024931,,2023-10-20_10h16.30.912,word_superiority_effect,2023.2.2,MacIntel,60.0024001,21.7833,23.0534,left,1,0.2342,,0,0.3024,,,,,,,,0,9,9,8,1,LOAD,O,2,Did the word contain the letter O?,left,word
,,,,,,,,,,024931,,2023-10-20_10h16.30.912,word_superiority_effect,2023.2.2,MacIntel,60.0024001,23.0537,24.469,left,0,0.381,,0,0.381,,,,,,,,0,10,10,11,1,AEDL,O,2,Did the word contain the letter O?,right,nonword
,,,,,,,,,,024931,,2023-10-20_10h16.30.912,word_superiority_effect,2023.2.2,MacIntel,60.0024001,24.4696,25.8534,left,0,0.3556,,0,0.3556,,,,,,,,0,11,11,15,1,PNAS,I,3,Did the word contain the letter I?,right,nonword
,,,,,,,,,,024931,,2023-10-20_10h16.30.912,word_superiority_effect,2023.2.2,MacIntel,60.0024001,25.8537,27.2199,left,0,0.3314,,0,0.3556,,,,,,,,0,12,12,14,1,SNAP,I,3,Did the word contain the letter I?,right,word
,,,,,,,,,,024931,,2023-10-20_10h16.30.912,word_superiority_effect,2023.2.2,MacIntel,60.0024001,27.2206,28.5852,left,1,0.3323,,0,0.3556,,,,,,,,0,13,13,4,1,CARD,C,1,Did the word contain the letter C?,left,word
,,,,,,,,,,024931,,2023-10-20_10h16.30.912,word_superiority_effect,2023.2.2,MacIntel,60.0024001,28.5856,29.9197,left,0,0.3089,,0,0.3556,,,,,,,,0,14,14,6,1,LARD,C,1,Did the word contain the letter C?,right,word
,,,,,,,,,,024931,,2023-10-20_10h16.30.912,word_superiority_effect,2023.2.2,MacIntel,60.0024001,29.9204,31.2841,left,0,0.335,,0,0.3556,,,,,,,,0,15,15,2,1,WORD,K,4,Did the word contain the letter K?,right,word
,,,,,,,,,,024931,,2023-10-20_10h16.30.912,word_superiority_effect,2023.2.2,MacIntel,60.0024001,31.2845,32.586,left,1,0.2807,,0,0.3556,,,,,,,,1,0,16,8,1,LOAD,O,2,Did the word contain the letter O?,left,word
,,,,,,,,,,024931,,2023-10-20_10h16.30.912,word_superiority_effect,2023.2.2,MacIntel,60.0024001,32.5864,33.9186,left,0,0.3083,,0,0.3083,,,,,,,,1,1,17,15,1,PNAS,I,3,Did the word contain the letter I?,right,nonword
,,,,,,,,,,024931,,2023-10-20_10h16.30.912,word_superiority_effect,2023.2.2,MacIntel,60.0024001,33.9192,35.2855,left,1,0.3509,,1,0.3509,,,,,,,,1,2,18,5,1,RCAD,C,1,Did the word contain the letter C?,left,nonword
,,,,,,,,,,024931,,2023-10-20_10h16.30.912,word_superiority_effect,2023.2.2,MacIntel,60.0024001,35.286,36.6024,right,1,0.2832,,1,0.2832,,,,,,,,1,3,19,3,1,RWOD,K,4,Did the word contain the letter K?,right,nonword
,,,,,,,,,,024931,,2023-10-20_10h16.30.912,word_superiority_effect,2023.2.2,MacIntel,60.0024001,36.6027,37.887,right,1,0.2655,,1,0.2832,,,,,,,,1,4,20,10,1,LEAD,O,2,Did the word contain the letter O?,right,word
,,,,,,,,,,024931,,2023-10-20_10h16.30.912,word_superiority_effect,2023.2.2,MacIntel,60.0024001,37.8875,39.2192,left,1,0.303,,1,0.303,,,,,,,,1,5,21,9,1,AODL,O,2,Did the word contain the letter O?,left,nonword
,,,,,,,,,,024931,,2023-10-20_10h16.30.912,word_superiority_effect,2023.2.2,MacIntel,60.0024001,39.2197,40.486,left,1,0.241,,1,0.241,,,,,,,,1,6,22,13,1,PNIS,I,3,Did the word contain the letter I?,left,nonword
,,,,,,,,,,024931,,2023-10-20_10h16.30.912,word_superiority_effect,2023.2.2,MacIntel,60.0024001,40.4864,41.7691,left,0,0.2584,,0,0.2584,,,,,,,,1,7,23,7,1,RLAD,C,1,Did the word contain the letter C?,right,nonword
,,,,,,,,,,024931,,2023-10-20_10h16.30.912,word_superiority_effect,2023.2.2,MacIntel,60.0024001,41.77,50.217,left,1,7.4251,,1,7.4251,,,,,,,,1,8,24,1,1,RWOK,K,4,"Did the word contain the letter ""K""",left,nonword
,,,,,,,,,,024931,,2023-10-20_10h16.30.912,word_superiority_effect,2023.2.2,MacIntel,60.0024001,50.2302,54.4695,left,0,3.2149,,0,3.2149,,,,,,,,1,9,25,11,1,AEDL,O,2,Did the word contain the letter O?,right,nonword
,,,,,,,,,,024931,,2023-10-20_10h16.30.912,word_superiority_effect,2023.2.2,MacIntel,60.0024001,54.4825,55.8031,left,0,0.3002,,0,3.2149,,,,,,,,1,10,26,6,1,LARD,C,1,Did the word contain the letter C?,right,word
,,,,,,,,,,024931,,2023-10-20_10h16.30.912,word_superiority_effect,2023.2.2,MacIntel,60.0024001,55.8036,57.1676,left,0,0.333,,0,3.2149,,,,,,,,1,11,27,14,1,SNAP,I,3,Did the word contain the letter I?,right,word
,,,,,,,,,,024931,,2023-10-20_10h16.30.912,word_superiority_effect,2023.2.2,MacIntel,60.0024001,57.1681,58.2017,left,1,0.0236,,0,3.2149,,,,,,,,1,12,28,4,1,CARD,C,1,Did the word contain the letter C?,left,word
,,,,,,,,,,024931,,2023-10-20_10h16.30.912,word_superiority_effect,2023.2.2,MacIntel,60.0024001,58.202,59.8528,left,0,0.6331,,0,3.2149,,,,,,,,1,13,29,2,1,WORD,K,4,Did the word contain the letter K?,right,word
,,,,,,,,,,024931,,2023-10-20_10h16.30.912,word_superiority_effect,2023.2.2,MacIntel,60.0024001,59.8532,62.9332,left,1,2.0508,,0,3.2149,,,,,,,,1,14,30,0,1,WORK,K,4,"Did the word contain the letter ""K""",left,word
,,,,,,,,,,024931,,2023-10-20_10h16.30.912,word_superiority_effect,2023.2.2,MacIntel,60.0024001,62.9462,67.0848,left,1,3.1184,,0,3.2149,,,,,,,,1,15,31,12,1,SNIP,I,3,Did the word contain the letter I?,left,word
,,,,,,,,,,024931,,2023-10-20_10h16.30.912,word_superiority_effect,2023.2.2,MacIntel,60.0024001,67.0964,68.7511,left,0,0.6348,,0,3.2149,,,,,,,,2,0,32,10,1,LEAD,O,2,Did the word contain the letter O?,right,word
,,,,,,,,,,024931,,2023-10-20_10h16.30.912,word_superiority_effect,2023.2.2,MacIntel,60.0024001,68.7516,70.2364,left,1,0.4658,,0,3.2149,,,,,,,,2,1,33,4,1,CARD,C,1,Did the word contain the letter C?,left,word
,,,,,,,,,,024931,,2023-10-20_10h16.30.912,word_superiority_effect,2023.2.2,MacIntel,60.0024001,70.2368,71.6361,left,1,0.3685,,1,0.3685,,,,,,,,2,2,34,9,1,AODL,O,2,Did the word contain the letter O?,left,nonword
,,,,,,,,,,024931,,2023-10-20_10h16.30.912,word_superiority_effect,2023.2.2,MacIntel,60.0024001,71.6365,77.3519,left,1,4.6845,,1,4.6845,,,,,,,,2,3,35,5,1,RCAD,C,1,Did the word contain the letter C?,left,nonword
,,,,,,,,,,024931,,2023-10-20_10h16.30.912,word_superiority_effect,2023.2.2,MacIntel,60.0024001,77.3651,78.8705,left,0,0.4836,,0,0.4836,,,,,,,,2,4,36,3,1,RWOD,K,4,Did the word contain the letter K?,right,nonword
,,,,,,,,,,024931,,2023-10-20_10h16.30.912,word_superiority_effect,2023.2.2,MacIntel,60.0024001,78.8714,80.3368,left,1,0.4412,,1,0.4412,,,,,,,,2,5,37,1,1,RWOK,K,4,"Did the word contain the letter ""K""",left,nonword
,,,,,,,,,,024931,,2023-10-20_10h16.30.912,word_superiority_effect,2023.2.2,MacIntel,60.0024001,80.3371,82.0357,left,0,0.6737,,1,0.4412,,,,,,,,2,6,38,2,1,WORD,K,4,Did the word contain the letter K?,right,word
,,,,,,,,,,024931,,2023-10-20_10h16.30.912,word_superiority_effect,2023.2.2,MacIntel,60.0024001,82.036,83.386,left,0,0.3234,,1,0.4412,,,,,,,,2,7,39,6,1,LARD,C,1,Did the word contain the letter C?,right,word
,,,,,,,,,,024931,,2023-10-20_10h16.30.912,word_superiority_effect,2023.2.2,MacIntel,60.0024001,83.3864,84.7193,left,0,0.304,,0,0.304,,,,,,,,2,8,40,7,1,RLAD,C,1,Did the word contain the letter C?,right,nonword
,,,,,,,,,,024931,,2023-10-20_10h16.30.912,word_superiority_effect,2023.2.2,MacIntel,60.0024001,84.7197,86.2011,left,1,0.4506,,1,0.4506,,,,,,,,2,9,41,13,1,PNIS,I,3,Did the word contain the letter I?,left,nonword
,,,,,,,,,,024931,,2023-10-20_10h16.30.912,word_superiority_effect,2023.2.2,MacIntel,60.0024001,86.2015,87.4866,left,1,0.2672,,1,0.4506,,,,,,,,2,10,42,0,1,WORK,K,4,"Did the word contain the letter ""K""",left,word
,,,,,,,,,,024931,,2023-10-20_10h16.30.912,word_superiority_effect,2023.2.2,MacIntel,60.0024001,87.4872,88.7537,left,0,0.2365,,0,0.2365,,,,,,,,2,11,43,15,1,PNAS,I,3,Did the word contain the letter I?,right,nonword
,,,,,,,,,,024931,,2023-10-20_10h16.30.912,word_superiority_effect,2023.2.2,MacIntel,60.0024001,88.754,90.0536,left,1,0.2684,,0,0.2365,,,,,,,,2,12,44,12,1,SNIP,I,3,Did the word contain the letter I?,left,word
,,,,,,,,,,024931,,2023-10-20_10h16.30.912,word_superiority_effect,2023.2.2,MacIntel,60.0024001,90.0542,91.3852,left,0,0.3014,,0,0.2365,,,,,,,,2,13,45,14,1,SNAP,I,3,Did the word contain the letter I?,right,word
,,,,,,,,,,024931,,2023-10-20_10h16.30.912,word_superiority_effect,2023.2.2,MacIntel,60.0024001,91.3858,92.6682,left,0,0.2687,,0,0.2687,,,,,,,,2,14,46,11,1,AEDL,O,2,Did the word contain the letter O?,right,nonword
